collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
4849664,0.1860243397532031,-0.08000000000000006,-0.06422924835351296,0.0,-0.0023175768210421666,0.0,-0.0643352487240918,0.0,0.0,0.0,1.1352067198604345,0.010528564453125,60.0,-15.0,0.0002288818359375,0.000213623046875,1.1206379630602896
4915200,0.21038072765804827,-0.08000000000000006,-0.06168564656400122,0.0,-0.001588664616974711,0.0,-0.05983453296357766,0.0,0.0,0.0,1.1336086988449097,0.011444091796875,60.0,-15.0,0.0002288818359375,0.000152587890625,1.152147681452334
4980736,0.1937378850998357,-0.08000000000000006,-0.06494477123487741,0.0,-0.002753061568000703,0.0,-0.05627262877533212,0.0,0.0,0.0,1.1394685385748744,0.0107574462890625,60.0,-15.0,0.000244140625,0.0002593994140625,1.1396967777982354
5046272,0.2585659842006862,-0.08000000000000006,-0.06892884965054691,0.0,-0.001650294387673057,0.0,-0.04652280130540021,0.0,0.0,0.0,1.1000594422221184,0.010986328125,60.0,-15.0,0.000213623046875,0.0001220703125,1.1723636542446911
5111808,0.21296928881201893,-0.08000000000000006,-0.07432648091344163,0.0,-0.002217395004663558,0.0,-0.058063515956746414,0.0,0.0,0.0,1.117468185722828,0.003662109375,60.0,-15.0,0.0001068115234375,0.00018310546875,1.1192884175106883
5177344,0.18924826115835458,-0.08000000000000006,-0.06268094226834364,0.0,-0.0024801609260975965,0.0,-0.0626767523935996,0.0,0.0,0.0,1.1358563653193414,0.008697509765625,60.0,-15.0,0.00018310546875,0.000152587890625,1.1257999488152564
5242880,0.19592008192557842,-0.08000000000000006,-0.055773660977138206,0.0,-0.0026685264838306466,0.0,-0.06338757139747031,0.0,0.0,0.0,1.1562822656705976,0.005035400390625,60.0,-15.0,0.0001373291015625,0.000213623046875,1.1551606627181172
5308416,0.18426697165705264,-0.08000000000000006,-0.054461115796584636,0.0,-0.002637368681462249,0.0,-0.06258663564221933,0.0,0.0,0.0,1.1566536044701934,0.012359619140625,60.0,-15.0,0.0002288818359375,9.1552734375e-05,1.1534882015548646
5373952,0.26699337479658425,-0.08000000000000006,-0.04207083262735978,0.0,-0.002748144832366961,0.0,-0.04841510971891694,0.0,0.0,0.0,1.1242102081887424,0.029754638671875,60.0,-15.0,0.0005035400390625,3.0517578125e-05,1.2476867008954287
5439488,0.2331549054943025,-0.08000000000000006,-0.05079846200533211,0.0,-0.0027576296488405205,0.0,-0.05898181110387668,0.0,0.0,0.0,1.1425174032337964,0.0208282470703125,60.0,-15.0,0.0003814697265625,0.0001373291015625,1.203799550421536
5505024,0.20215050561819226,-0.08000000000000006,-0.04975599254248664,0.0,-0.002027113235271827,0.0,-0.06273764255456626,0.0,0.0,0.0,1.145011625252664,0.013275146484375,60.0,-15.0,0.0002593994140625,0.000152587890625,1.1657388377934694
5570560,0.20314747630618513,-0.08000000000000006,-0.0469302327837795,0.0,-0.0025202798169630114,0.0,-0.06311007076874375,0.0,0.0,0.0,1.1515096658840775,0.0199127197265625,60.0,-15.0,0.0003662109375,0.0001373291015625,1.181850875262171
5636096,0.20082128699868917,-0.08000000000000006,-0.047107013990171254,0.0,-0.0022863954309286783,0.0,-0.06462924845982343,0.0,0.0,0.0,1.1803272310644388,0.0139617919921875,60.0,-15.0,0.000274658203125,0.0001678466796875,1.2008897755295038
5701632,0.2797912321984768,-0.08000000000000006,-0.0415874454920413,0.0,-0.0010004814321291633,0.0,-0.04294200007279869,0.0,0.0,0.0,1.1738175805658102,0.01922607421875,60.0,-15.0,0.000335693359375,6.103515625e-05,1.307226731441915
5767168,0.22172566095832735,-0.08000000000000006,-0.050496007374022156,0.0,-0.0018766760467769927,0.0,-0.0532137946865987,0.0,0.0,0.0,1.2024300871416926,0.0061798095703125,60.0,-15.0,0.0001068115234375,1.52587890625e-05,1.244731248356402
5832704,0.19486163591500372,-0.08000000000000006,-0.05213021035888232,0.0,-0.0023742228140690713,0.0,-0.06178290001116693,0.0,0.0,0.0,1.1923553189262748,0.0146484375,60.0,-15.0,0.0002593994140625,6.103515625e-05,1.2055068975314498
5898240,0.2002637271070853,-0.08000000000000006,-0.051079447206575423,0.0,-0.002301726927726122,0.0,-0.06421473834780045,0.0,0.0,0.0,1.197760078124702,0.014190673828125,60.0,-15.0,0.0002899169921875,0.000213623046875,1.2143683098256588
5963776,0.1979466446209699,-0.08000000000000006,-0.0504799576010555,0.0,-0.0027323760514263995,0.0,-0.06012255966197699,0.0,0.0,0.0,1.2138220462948084,0.013275146484375,60.0,-15.0,0.0002593994140625,0.000152587890625,1.2315220618620515
6029312,0.28292978391982615,-0.08000000000000006,-0.04319114744430408,0.0,-0.00222059412044473,0.0,-0.04500226509117056,0.0,0.0,0.0,1.1901027923449874,0.0091552734375,60.0,-15.0,0.0001678466796875,6.103515625e-05,1.3116926169022918
6094848,0.2195940607925877,-0.08000000000000006,-0.05344500203500502,0.0,-0.002978974338475382,0.0,-0.05665890479576774,0.0,0.0,0.0,1.1969041842967272,0.009613037109375,60.0,-15.0,0.00018310546875,9.1552734375e-05,1.2329254746437073
6160384,0.1996218371205032,-0.08000000000000006,-0.05274794218712486,0.0,-0.003058787517147721,0.0,-0.061883464659331366,0.0,0.0,0.0,1.1819011783227324,0.012359619140625,60.0,-15.0,0.0002288818359375,9.1552734375e-05,1.1960852397605777
6225920,0.18795133638195693,-0.08000000000000006,-0.05178309101029299,0.0,-0.001661757504734851,0.0,-0.06383506819838658,0.0,0.0,0.0,1.1729959407821298,0.0112152099609375,60.0,-15.0,0.0002288818359375,0.0001678466796875,1.1746908212080598
6291456,0.19302552554290742,-0.08000000000000006,-0.05387936357874423,0.0,-0.001357702627501567,0.0,-0.06917921570129693,0.0,0.0,0.0,1.1769569693133235,0.0066375732421875,60.0,-15.0,0.000152587890625,0.0001678466796875,1.1720023900270462
6356992,0.28096361516509205,-0.08000000000000006,-0.04054635555075947,0.0,-0.0031415135654242476,0.0,-0.04008180029632058,0.0,0.0,0.0,1.1559022488072515,0.0102996826171875,60.0,-15.0,0.00018310546875,4.57763671875e-05,1.28333739656955
6422528,0.22031816747039557,-0.08000000000000006,-0.05099976676865481,0.0,-0.0027523795870365575,0.0,-0.053901772684184834,0.0,0.0,0.0,1.1851240675896406,0.00823974609375,60.0,-15.0,0.0001678466796875,0.0001220703125,1.225878325290978
6488064,0.20140273694414645,-0.08000000000000006,-0.05168241076171398,0.0,-0.002205461584708246,0.0,-0.060967204481130466,0.0,0.0,0.0,1.1694429526105523,0.011444091796875,60.0,-15.0,0.000213623046875,9.1552734375e-05,1.1873294012621045
6553600,0.18855360185261816,-0.08000000000000006,-0.052783103252295405,0.0,-0.0024989904013636988,0.0,-0.06378620944451541,0.0,0.0,0.0,1.159189011901617,0.0139617919921875,60.0,-15.0,0.000274658203125,0.0001678466796875,1.1624421905726194
6619136,0.18329807941336185,-0.08000000000000006,-0.053213483071886,0.0,-0.0021366309774748515,0.0,-0.06354605077649467,0.0,0.0,0.0,1.1759486077353358,0.0070953369140625,60.0,-15.0,0.000152587890625,0.0001373291015625,1.1672851024195552
