collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
37224448,-0.0006220830052825477,-9.941369785337884e-05,-0.0067138671875,-0.007435168253778102
37355520,-0.0008323653746629134,-7.718300543047008e-05,-0.0025177001953125,-0.0034271366357643274
37486592,-0.0008233800754169351,-0.00016155681726104376,-0.003631591796875,-0.004616334057573113
37617664,-0.0008270817097582039,-0.00010774632070820189,-0.0045928955078125,-0.005527590149085881
37748736,-0.0005775479758085567,-2.802232187093523e-05,-0.0012969970703125,-0.0019025437015898206
37879808,-0.0006435910711388715,-2.9448238365148427e-05,-0.0047760009765625,-0.005449008616778883
38010880,-0.0008326529687110451,-6.069457099044939e-05,-0.00360107421875,-0.004493664756864746
38141952,-0.0004762423588999809,-3.2096332418518614e-05,-0.0010223388671875,-0.0015306198833968665
38273024,-0.0005691145029231848,-4.3392264807096126e-05,-0.0047149658203125,-0.005327394164623911
38404096,-0.0008195386271836469,-0.00012119836918600413,-0.0030670166015625,-0.004007710901532846
