attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
0,5636096,3.827638272,4.022337536,6.802404352
0,5701632,3.825179136,4.001366016,6.802404352
0,5767168,3.82695168,4.001366016,6.802404352
1,5832704,3.55792128,3.688890368,5.376406528
1,5898240,3.558967808,3.755999232,6.7800192
1,5963776,3.558115328,3.714056192,6.7800192
1,6029312,3.5579648,3.69098752,6.7800192
1,6094848,3.561447936,3.73293056,6.781587968
1,6160384,3.558502912,3.693084672,6.781587968
1,6225920,3.559751168,3.714056192,6.781587968
1,6291456,3.5595776,3.695181824,6.781587968
1,6356992,3.558875136,3.693084672,6.781587968
1,6422528,3.558097408,3.71195904,6.781587968
1,6488064,3.559539712,3.714056192,6.781587968
1,6553600,3.56004864,3.735027712,6.781587968
1,6619136,3.561224192,3.716153344,6.781587968
1,6684672,3.559817216,3.714056192,6.781587968
1,6750208,3.557773824,3.716153344,6.781587968
1,6815744,3.56049664,3.716153344,6.781587968
1,6881280,3.559177728,3.735027712,6.781587968
1,6946816,3.55963904,3.735027712,6.781587968
1,7012352,3.558871552,3.714056192,6.781587968
1,7077888,3.557915648,3.735027712,6.781587968
1,7143424,3.560628224,3.71195904,6.781587968
1,7208960,3.561602048,3.737124864,6.781713408
1,7274496,3.559141888,3.695181824,6.781713408
1,7340032,3.560899584,3.69098752,6.781713408
1,7405568,3.56050432,3.714056192,6.781713408
1,7471104,3.556990464,3.71195904,6.781713408
1,7536640,3.55772672,3.714056192,6.781713408
1,7602176,3.560916992,3.714056192,6.781713408
1,7667712,3.5572864,3.716153344,6.781713408
1,7733248,3.558252544,3.693084672,6.781713408
1,7798784,3.559531008,3.755999232,6.781713408
1,7864320,3.560924672,3.755999232,6.781713408
1,7929856,3.557958144,3.714056192,6.781713408
1,7995392,3.561310208,3.755999232,6.781713408
1,8060928,3.557264384,3.716153344,6.781713408
1,8126464,3.558204928,3.693084672,6.781713408
1,8192000,3.55808256,3.714056192,6.781713408
1,8257536,3.561317888,3.714056192,6.781713408
1,8323072,3.560891392,3.735027712,6.781942784
1,8388608,3.56039168,3.714056192,6.781942784
1,8454144,3.55849728,3.693084672,6.781942784
1,8519680,3.560103936,3.758096384,6.781942784
1,8585216,3.55886592,3.714056192,6.781942784
1,8650752,3.560873472,3.714056192,6.781942784
1,8716288,3.559260672,3.714056192,6.781942784
1,8781824,3.559399936,3.73293056,6.781942784
1,8847360,3.560620032,3.714056192,6.781942784
1,8912896,3.558257152,3.695181824,6.781942784
1,8978432,3.560920576,3.737124864,6.781942784
1,9043968,3.561452544,3.735027712,6.782503936
1,9109504,3.558462976,3.695181824,6.782503936
1,9175040,3.558803968,3.714056192,6.782503936
1,9240576,3.55994112,3.716153344,6.782503936
1,9306112,3.560629248,3.71195904,6.782503936
1,9371648,3.560625152,3.75390208,6.782503936
1,9437184,3.56039168,3.71195904,6.782503936
1,9502720,3.557222912,3.716153344,6.782503936
1,9568256,3.560206336,3.695181824,6.782503936
1,9633792,3.561293312,3.69098752,6.782503936
1,9699328,3.558502912,3.693084672,6.782503936
1,9764864,3.560880128,3.714056192,6.782503936
1,9830400,3.559289344,3.693084672,6.782503936
1,9895936,3.560945152,3.73293056,6.782503936
1,9961472,3.560857088,3.693084672,6.782503936
1,10027008,3.560022016,3.714056192,6.782503936
1,10092544,3.560446464,3.695181824,6.782503936
1,10158080,3.558657024,3.714056192,6.782503936
1,10223616,3.559855616,3.714056192,6.782503936
1,10289152,3.56007936,3.735027712,6.782503936
1,10354688,3.56045056,3.695181824,6.782503936
1,10420224,3.557371904,3.695181824,6.782503936
1,10485760,3.560357376,3.737124864,6.782503936
1,10551296,3.559413248,3.714056192,6.782503936
1,10616832,3.561287168,3.735027712,6.782503936
1,10682368,3.559955968,3.695181824,6.782503936
1,10747904,3.55872256,3.695181824,6.782503936
1,10813440,3.558237184,3.69098752,6.782503936
1,10878976,3.557974528,3.714056192,6.782503936
1,10944512,3.561835008,3.714056192,6.782503936
1,11010048,3.559537664,3.693084672,6.782503936
1,11075584,3.5603584,3.714056192,6.782503936
1,11141120,3.562365952,3.735027712,6.782503936
1,11206656,3.557553664,3.714056192,6.782503936
1,11272192,3.557433856,3.693084672,6.782503936
1,11337728,3.559901696,3.714056192,6.782503936
1,11403264,3.556995584,3.693084672,6.782503936
1,11468800,3.560035328,3.714056192,6.782503936
1,11534336,3.560136192,3.714056192,6.782503936
1,11599872,3.560367104,3.737124864,6.782503936
1,11665408,3.559496192,3.714056192,6.782503936
1,11730944,3.559177728,3.714056192,6.782503936
1,11796480,3.559383552,3.737124864,6.782503936
1,11862016,3.559020544,3.714056192,6.782503936
1,11927552,3.557994496,3.735027712,6.782503936
1,11993088,3.560407552,3.71195904,6.782503936
